#Number of Samples: 2
#Total Number of Reads: 639668
#S1	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G1_1/G1_1_1_G1_1_2_bracken_genuses.kraken2_report
#S2	/Users/jjpc/PiconCossio/UNI-SEQ/16S/G2_1/G2_1_1_G2_1_2_bracken_genuses.kraken2_report
#perc	tot_all	tot_lvl	S1_all	S1_lvl	S2_all	S2_lvl	lvl_type	taxid	name
0.0002	1	1	1	1	0	0	G	45298	            Hydrogenibacillus
0.0002	1	0	0	0	1	0	O	45183	        Caldalkalibacillales
0.0002	1	0	0	0	1	0	F	45184	          Caldalkalibacillaceae
0.0002	1	1	0	0	1	1	G	45185	            Caldalkalibacillus
0.8758	5602	0	2296	0	3306	0	C	45812	      Thermacetogenia
0.8758	5602	0	2296	0	3306	0	O	45813	        Thermacetogeniales
0.8758	5602	0	2296	0	3306	0	F	45814	          Thermacetogeniaceae
0.8756	5601	5601	2296	2296	3305	3305	G	45815	            Syntrophaceticus
0.0002	1	1	0	0	1	1	G	45817	            uncultured
0.1989	1272	0	77	0	1195	0	C	14398	      Limnochordia
0.1985	1270	1270	77	77	1193	1193	G	45724	        Hydrogenispora
0.0003	2	0	0	0	2	0	O	14399	        Limnochordales
0.0003	2	0	0	0	2	0	F	14400	          Limnochordaceae
0.0003	2	2	0	0	2	2	G	14401	            Limnochorda
0.0929	594	0	293	0	301	0	C	45802	      Syntrophomonadia
0.0929	594	0	293	0	301	0	O	45803	        Syntrophomonadales
0.0929	594	0	293	0	301	0	F	45804	          Syntrophomonadaceae
0.0455	291	291	165	165	126	126	G	45809	            uncultured
0.0386	247	247	99	99	148	148	G	45806	            Syntrophomonas
0.0083	53	53	28	28	25	25	G	45805	            Pelospora
0.0880	563	0	272	0	291	0	C	2164	      Negativicutes
0.0635	406	0	185	0	221	0	O	45745	        Acidaminococcales
0.0635	406	0	185	0	221	0	F	45746	          Acidaminococcaceae
0.0510	326	326	147	147	179	179	G	45751	            uncultured
0.0066	42	42	26	26	16	16	G	45748	            Phascolarctobacterium
0.0045	29	29	7	7	22	22	G	45747	            Acidaminococcus
0.0006	4	4	2	2	2	2	G	45749	            Succiniclasticum
0.0003	2	2	2	2	0	0	G	45750	            Succinispira
0.0242	155	0	86	0	69	0	O	45752	        Veillonellales-Selenomonadales
0.0163	104	0	55	0	49	0	F	45780	          Veillonellaceae
0.0061	39	39	23	23	16	16	G	45786	            Veillonella
0.0052	33	33	14	14	19	19	G	45784	            Megasphaera
0.0031	20	20	14	14	6	6	G	45783	            Dialister
0.0014	9	9	2	2	7	7	G	45787	            uncultured
0.0045	29	0	20	0	9	0	F	45753	          Selenomonadaceae
0.0020	13	13	7	7	6	6	G	45762	            Selenomonas
0.0014	9	9	9	9	0	0	G	45757	            Mitsuokella
0.0005	3	3	1	1	2	2	G	45765	            uncultured
0.0002	1	1	1	1	0	0	G	45755	            Centipeda
0.0002	1	1	1	1	0	0	G	45756	            Megamonas
0.0033	21	0	11	0	10	0	F	45766	          Sporomusaceae
0.0019	12	12	2	2	10	10	G	45777	            Sporomusa
0.0006	4	4	4	4	0	0	G	45772	            Dendrosporobacter
0.0003	2	2	2	2	0	0	G	45774	            Pelosinus
0.0003	2	2	2	2	0	0	G	45779	            uncultured
0.0671	429	0	127	0	302	0	C	45669	      Desulfitobacteriia
0.0671	429	0	127	0	302	0	O	45670	        Desulfitobacteriales
0.0671	429	0	127	0	302	0	F	45672	          Desulfitobacteriaceae
0.0663	424	424	125	125	299	299	G	45674	            Desulfosporosinus
0.0008	5	5	2	2	3	3	G	45673	            Desulfitobacterium
0.0105	67	0	27	0	40	0	C	45687	      Desulfotomaculia
0.0102	65	0	27	0	38	0	O	45699	        Desulfotomaculales
0.0042	27	0	11	0	16	0	F	50218	          Desulfurisporaceae
0.0039	25	25	10	10	15	15	G	50220	            Desulfurispora
0.0002	1	1	0	0	1	1	G	50221	            SCADC1-2-3
0.0002	1	1	1	1	0	0	G	50219	            Desulfofundulus
0.0041	26	0	10	0	16	0	F	50222	          Pelotomaculaceae
0.0036	23	23	8	8	15	15	G	50223	            Cryptanaerobacter
0.0005	3	3	2	2	1	1	G	50224	            Pelotomaculum
0.0011	7	0	3	0	4	0	F	50211	          Desulfotomaculaceae
0.0009	6	6	2	2	4	4	G	50212	            Desulfofarcimen
0.0002	1	1	1	1	0	0	G	50213	            Desulfohalotomaculum
0.0005	3	0	2	0	1	0	F	50215	          Desulfotomaculales Incertae Sedis
0.0005	3	3	2	2	1	1	G	50216	            Desulfallas-Sporotomaculum
0.0002	1	0	0	0	1	0	O	45688	        Ammonifexales
0.0002	1	0	0	0	1	0	F	45694	          Desulforudaceae
0.0002	1	1	0	0	1	1	G	45695	            Candidatus Desulforudis
0.0025	16	0	11	0	5	0	C	45826	      Thermoanaerobacteria
0.0025	16	0	11	0	5	0	O	45831	        Thermoanaerobacterales
0.0011	7	0	4	0	3	0	F	45834	          Family IV
0.0011	7	7	4	4	3	3	G	45835	            Mahella
0.0009	6	0	6	0	0	0	F	45837	          Thermoanaerobacteraceae
0.0006	4	4	4	4	0	0	G	45840	            Caldanaerobius
0.0002	1	1	1	1	0	0	G	45839	            Caldanaerobacter
0.0002	1	1	1	1	0	0	G	45843	            Thermanaeromonas
0.0005	3	0	1	0	2	0	F	45832	          Family III
0.0005	3	3	1	1	2	2	G	45833	            Thermoanaerobacterium
0.0013	8	0	3	0	5	0	C	45711	      Dethiobacteria
0.0013	8	0	3	0	5	0	O	45712	        Dethiobacterales
0.0013	8	0	3	0	5	0	F	45713	          Dethiobacteraceae
0.0009	6	6	3	3	3	3	G	45716	            uncultured
0.0003	2	2	0	0	2	2	G	45715	            Dethiobacter
0.0011	7	0	4	0	3	0	C	45728	      Moorellia
0.0009	6	0	3	0	3	0	O	45732	        Desulfitibacterales
0.0009	6	0	3	0	3	0	F	45733	          Desulfitibacteraceae
0.0009	6	6	3	3	3	3	G	45734	            Desulfitibacter
0.0002	1	0	1	0	0	0	O	45735	        Moorellales
0.0002	1	0	1	0	0	0	F	45736	          Moorellaceae
0.0002	1	1	1	1	0	0	G	45737	            Moorella
0.0003	2	0	1	0	1	0	C	45795	      Symbiobacteriia
0.0003	2	0	1	0	1	0	O	45796	        Symbiobacteriales
0.0003	2	0	1	0	1	0	F	45798	          Symbiobacteraceae
0.0003	2	2	1	1	1	1	G	45800	            uncultured
0.0003	2	0	1	0	1	0	C	45818	      Thermaerobacteria
0.0003	2	0	1	0	1	0	O	45819	        Thermaerobacterales
0.0003	2	0	1	0	1	0	F	45820	          Thermaerobacteraceae
0.0003	2	2	1	1	1	1	G	45821	            Thermaerobacter
14.4983	92741	0	62650	0	30091	0	P	2375	    Proteobacteria
7.8919	50482	0	29902	0	20580	0	C	3303	      Gammaproteobacteria
3.2312	20669	0	15040	0	5629	0	O	3709	        Pseudomonadales
2.8715	18368	0	14516	0	3852	0	F	3718	          Pseudomonadaceae
2.3118	14788	14788	11107	11107	3681	3681	G	3723	            Pseudomonas
0.5562	3558	3558	3392	3392	166	166	G	14683	            Thiopseudomonas
0.0020	13	13	9	9	4	4	G	3721	            Azotobacter
0.0009	6	6	6	6	0	0	G	14682	            Oblitimonas
0.1283	821	0	337	0	484	0	F	3710	          Moraxellaceae
0.0897	574	574	95	95	479	479	G	3711	            Acinetobacter
0.0295	189	189	188	188	1	1	G	3716	            Psychrobacter
0.0045	29	29	29	29	0	0	G	3713	            Enhydrobacter
0.0039	25	25	22	22	3	3	G	3714	            Moraxella
0.0002	1	1	1	1	0	0	G	14681	            [Agitococcus] lubricus group
0.0913	584	0	30	0	554	0	F	50397	          Halomonadaceae
0.0899	575	575	28	28	547	547	G	50404	            Halomonas
0.0005	3	3	0	0	3	3	G	50405	            Halospina
0.0003	2	2	0	0	2	2	G	50414	            Salinicola
0.0002	1	1	0	0	1	1	G	50415	            Terasakiispira
0.0002	1	1	1	1	0	0	G	50399	            Candidatus Evansia
0.0002	1	1	1	1	0	0	G	50402	            Chromohalobacter
0.0491	314	0	12	0	302	0	F	50360	          Cellvibrionaceae
0.0449	287	287	0	0	287	287	G	50374	            Pseudoteredinibacter
0.0017	11	11	5	5	6	6	G	50365	            Cellvibrio
0.0013	8	8	7	7	1	1	G	50372	            Marinimicrobium
0.0005	3	3	0	0	3	3	G	50361	            Aestuariicella
0.0002	1	1	0	0	1	1	G	50379	            uncultured
0.0002	1	1	0	0	1	1	G	50366	            Eionea
0.0356	228	0	3	0	225	0	F	50446	          Porticoccaceae
0.0344	220	220	3	3	217	217	G	50447	            C1-B045
0.0013	8	8	0	0	8	8	G	50449	            SAR92 clade
0.0136	87	0	2	0	85	0	F	50356	          Alcanivoracaceae1
0.0136	87	87	2	2	85	85	G	50357	            Alcanivorax
0.0133	85	0	23	0	62	0	F	50428	          Nitrincolaceae
0.0089	57	57	0	0	57	57	G	50436	            Nitrincola
0.0023	15	15	14	14	1	1	G	50432	            Marinobacterium
0.0013	8	8	7	7	1	1	G	50438	            Profundimonas
0.0002	1	1	0	0	1	1	G	50433	            Motiliproteus
0.0002	1	1	1	1	0	0	G	50434	            Neptuniibacter
0.0116	74	0	61	0	13	0	F	50422	          Marinobacteraceae
0.0116	74	74	61	61	13	13	G	50423	            Marinobacter
0.0030	19	0	1	0	18	0	F	50450	          Pseudohongiellaceae
0.0028	18	18	0	0	18	18	G	50452	            Pseudohongiella
0.0002	1	1	1	1	0	0	G	50451	            BIyi10
0.0025	16	0	9	0	7	0	F	50455	          Saccharospirillaceae
0.0011	7	7	0	0	7	7	G	50463	            Oleispira
0.0005	3	3	3	3	0	0	G	50464	            Reinekea
0.0003	2	2	2	2	0	0	G	50461	            Oceanobacter
0.0002	1	1	1	1	0	0	G	50465	            Saccharospirillum
0.0002	1	1	1	1	0	0	G	50466	            Salinispirillum
0.0002	1	1	1	1	0	0	G	50469	            uncultured
0.0025	16	0	11	0	5	0	F	50426	          Microbulbiferaceae
0.0025	16	16	11	11	5	5	G	50427	            Microbulbifer
0.0023	15	0	10	0	5	0	F	50387	          Halieaceae
0.0014	9	9	4	4	5	5	G	50394	            OM60(NOR5) clade
0.0005	3	3	3	3	0	0	G	50396	            Pseudohaliea
0.0003	2	2	2	2	0	0	G	50395	            Parahaliea
0.0016	10	0	9	0	1	0	F	50479	          Thioglobaceae
0.0016	10	10	9	9	1	1	G	50485	            SUP05 cluster
0.0014	9	0	2	0	7	0	F	50470	          Spongiibacteraceae
0.0014	9	9	2	2	7	7	G	50471	            BD1-7 clade
0.0011	7	0	6	0	1	0	F	50380	          Endozoicomonadaceae
0.0006	4	4	4	4	0	0	G	50382	            Kistimonas
0.0005	3	3	2	2	1	1	G	50381	            Endozoicomonas
0.0002	1	0	0	0	1	0	F	50424	          Marinomonadaceae
0.0002	1	1	0	0	1	1	G	50425	            Marinomonas
0.0002	1	0	1	0	0	0	F	50419	          Litoricolaceae
0.0002	1	1	1	1	0	0	G	50420	            Litoricola
3.0960	19804	0	12738	0	7066	0	O	46187	        Burkholderiales
1.4390	9205	0	8095	0	1110	0	F	46189	          Alcaligenaceae
0.3530	2258	2258	2160	2160	98	98	G	46190	            Achromobacter
0.2575	1647	1647	1335	1335	312	312	G	46191	            Advenella
0.1929	1234	1234	1181	1181	53	53	G	46194	            Bordetella
0.1829	1170	1170	1143	1143	27	27	G	46192	            Alcaligenes
0.0713	456	456	451	451	5	5	G	46210	            Pusillimonas
0.0622	398	398	285	285	113	113	G	46212	            Verticiella
0.0560	358	358	354	354	4	4	G	46209	            Pigmentiphaga
0.0555	355	355	5	5	350	350	G	46202	            Oligella
0.0524	335	335	273	273	62	62	G	46206	            Parapusillimonas
0.0500	320	320	301	301	19	19	G	46200	            GKS98 freshwater group
0.0361	231	231	227	227	4	4	G	46213	            uncultured
0.0211	135	135	125	125	10	10	G	46197	            Castellaniella
0.0172	110	110	68	68	42	42	G	46201	            Kerstersia
0.0077	49	49	47	47	2	2	G	46196	            Candidimonas
0.0055	35	35	35	35	0	0	G	46195	            Candidatus Kinetoplastibacterium
0.0045	29	29	29	29	0	0	G	46198	            Derxia
0.0039	25	25	25	25	0	0	G	46208	            Pelistega
0.0038	24	24	21	21	3	3	G	46204	            Paenalcaligenes
0.0028	18	18	18	18	0	0	G	46203	            Orrella
0.0003	2	2	2	2	0	0	G	46193	            Ampullimonas
0.9417	6024	0	2251	0	3773	0	F	46220	          Burkholderiaceae
0.8428	5391	5391	1853	1853	3538	3538	G	46221	            Burkholderia-Caballeronia-Paraburkholderia
0.0264	169	169	156	156	13	13	G	46226	            Limnobacter
0.0216	138	138	18	18	120	120	G	46230	            Ralstonia
0.0192	123	123	121	121	2	2	G	46231	            Robbsia
0.0130	83	83	72	72	11	11	G	46225	            Lautropia
0.0055	35	35	7	7	28	28	G	46224	            Cupriavidus
0.0053	34	34	6	6	28	28	G	46222	            Candidatus Glomeribacter
0.0033	21	21	7	7	14	14	G	46229	            Polynucleobacter
0.0020	13	13	3	3	10	10	G	46232	            uncultured
0.0009	6	6	3	3	3	3	G	46223	            Candidatus Tremblaya
0.0006	4	4	1	1	3	3	G	46228	            Pandoraea
0.4384	2804	0	1479	0	1325	0	F	46259	          Comamonadaceae
0.1310	838	838	22	22	816	816	G	46281	            Lampropedia
0.0794	508	508	475	475	33	33	G	46315	            uncultured
0.0422	270	270	242	242	28	28	G	46297	            Rhizobacter
0.0286	183	183	74	74	109	109	G	46269	            Comamonas
0.0147	94	94	43	43	51	51	G	46276	            Hydrogenophaga
0.0127	81	81	50	50	31	31	G	46260	            Acidovorax
0.0119	76	76	65	65	11	11	G	46298	            Rhodoferax
0.0114	73	73	47	47	26	26	G	46272	            Delftia
0.0114	73	73	43	43	30	30	G	46262	            Aquabacterium
0.0109	70	70	56	56	14	14	G	46292	            Polaromonas
0.0072	46	46	37	37	9	9	G	46309	            Variovorax
0.0067	43	43	18	18	25	25	G	46296	            Ramlibacter
0.0055	35	35	35	35	0	0	G	46314	            [Polyangium] brachysporum group
0.0048	31	31	21	21	10	10	G	46273	            Diaphorobacter
0.0042	27	27	11	11	16	16	G	46283	            Limnohabitans
0.0042	27	27	26	26	1	1	G	46310	            Verminephrobacter
0.0039	25	25	1	1	24	24	G	46265	            Brachymonas
0.0039	25	25	23	23	2	2	G	46288	            Ottowia
0.0033	21	21	10	10	11	11	G	46266	            Caenimonas
0.0033	21	21	21	21	0	0	G	46278	            Ideonella
0.0031	20	20	20	20	0	0	G	46290	            Pelomonas
0.0028	18	18	18	18	0	0	G	46282	            Leptothrix
0.0027	17	17	0	0	17	17	G	46312	            Xylophilus
0.0027	17	17	11	11	6	6	G	46303	            Simplicispira
0.0027	17	17	17	17	0	0	G	46286	            Methylibium
0.0022	14	14	6	6	8	8	G	46268	            Candidatus Symbiobacter
0.0022	14	14	9	9	5	5	G	46295	            RS62 marine group
0.0020	13	13	13	13	0	0	G	46274	            Extensimonas
0.0016	10	10	2	2	8	8	G	46279	            Inhella
0.0016	10	10	8	8	2	2	G	46307	            Thiomonas
0.0013	8	8	2	2	6	6	G	46301	            Rubrivivax
0.0011	7	7	3	3	4	4	G	46300	            Roseateles
0.0011	7	7	5	5	2	2	G	46271	            Curvibacter
0.0011	7	7	7	7	0	0	G	46299	            Rivibacter
0.0008	5	5	3	3	2	2	G	46304	            Sphaerotilus
0.0006	4	4	4	4	0	0	G	46261	            Alicycliphilus
0.0006	4	4	4	4	0	0	G	46289	            Paucibacter
0.0005	3	3	0	0	3	3	G	46287	            Mitsuaria
0.0005	3	3	0	0	3	3	G	46275	            Giesbergeria
0.0005	3	3	3	3	0	0	G	46294	            Pseudorhodoferax
0.0005	3	3	3	3	0	0	G	46306	            Tepidimonas
0.0003	2	2	2	2	0	0	G	46313	            Zhizhongheella
0.0002	1	1	1	1	0	0	G	46311	            Xenophilus
0.0965	617	0	281	0	336	0	F	46403	          Rhodocyclaceae
0.0288	184	184	41	41	143	143	G	46410	            Dechlorobacter
0.0245	157	157	154	154	3	3	G	46417	            Methyloversatilis
0.0119	76	76	21	21	55	55	G	46419	            Propionivibrio
0.0078	50	50	3	3	47	47	G	46404	            Azoarcus
0.0072	46	46	8	8	38	38	G	46425	            Thauera
0.0027	17	17	12	12	5	5	G	46429	            uncultured
0.0017	11	11	6	6	5	5	G	46405	            Azonexus
0.0016	10	10	2	2	8	8	G	46426	            Uliginosibacterium
0.0016	10	10	10	10	0	0	G	46427	            Z-35
0.0011	7	7	3	3	4	4	G	46411	            Dechloromonas
0.0009	6	6	1	1	5	5	G	46413	            Denitratisoma
0.0009	6	6	3	3	3	3	G	46424	            Sulfuritalea
0.0008	5	5	2	2	3	3	G	46428	            Zoogloea
0.0008	5	5	4	4	1	1	G	46409	            Candidatus Accumulibacter
0.0005	3	3	0	0	3	3	G	46415	            Ferribacterium
0.0005	3	3	1	1	2	2	G	46406	            Azospira
0.0003	2	2	1	1	1	1	G	46407	            Azovibrio
0.0002	1	1	0	0	1	1	G	46408	            C39
0.0875	560	0	425	0	135	0	F	46375	          Oxalobacteraceae
0.0542	347	347	260	260	87	87	G	46388	            Massilia
0.0075	48	48	38	38	10	10	G	46389	            Noviherbaspirillum
0.0047	30	30	29	29	1	1	G	46400	            uncultured
0.0038	24	24	2	2	22	22	G	46391	            Oxalobacter
0.0036	23	23	23	23	0	0	G	46387	            Janthinobacterium
0.0036	23	23	23	23	0	0	G	46377	            CM1G08
0.0030	19	19	19	19	0	0	G	46383	            Duganella
0.0022	14	14	4	4	10	10	G	46385	            Herbaspirillum
0.0016	10	10	8	8	2	2	G	46398	            [Aquaspirillum] arcticum group
0.0013	8	8	8	8	0	0	G	46397	            Undibacterium
0.0006	4	4	4	4	0	0	G	46390	            Oxalicibacterium
0.0002	1	1	0	0	1	1	G	46376	            Actimicrobium
0.0002	1	1	1	1	0	0	G	46381	            Candidatus Zinderia
0.0632	404	0	122	0	282	0	F	46348	          Neisseriaceae
0.0538	344	344	92	92	252	252	G	46360	            uncultured
0.0056	36	36	23	23	13	13	G	46354	            Neisseria
0.0022	14	14	1	1	13	13	G	46353	            Kingella
0.0006	4	4	2	2	2	2	G	46358	            Uruburuella
0.0002	1	1	1	1	0	0	G	46351	            Conchiformibius
0.0063	40	0	7	0	33	0	F	46337	          Methylophilaceae
0.0022	14	14	1	1	13	13	G	46340	            MM2
0.0013	8	8	0	0	8	8	G	46341	            Methylobacillus
0.0008	5	5	1	1	4	4	G	46339	            MM1
0.0006	4	4	0	0	4	4	G	46346	            UBA6140
0.0003	2	2	0	0	2	2	G	46347	            uncultured
0.0003	2	2	2	2	0	0	G	46343	            Methylotenera
0.0002	1	1	1	1	0	0	G	46345	            OM43 clade
0.0059	38	0	17	0	21	0	F	46361	          Nitrosomonadaceae
0.0016	10	10	4	4	6	6	G	46368	            Nitrosomonas
0.0013	8	8	6	6	2	2	G	46364	            Ellin6067
0.0009	6	6	2	2	4	4	G	46367	            MND1
0.0003	2	2	0	0	2	2	G	46372	            mle1-7
0.0003	2	2	1	1	1	1	G	46362	            966-1
0.0003	2	2	1	1	1	1	G	46365	            GOUTA6
0.0003	2	2	1	1	1	1	G	46369	            Nitrosospira
0.0002	1	1	0	0	1	1	G	46366	            IS-44
0.0055	35	0	18	0	17	0	F	46325	          Hydrogenophilaceae
0.0030	19	19	2	2	17	17	G	46331	            Thiobacillus
0.0023	15	15	15	15	0	0	G	46333	            uncultured
0.0038	24	0	19	0	5	0	F	46436	          Sutterellaceae
0.0014	9	9	8	8	1	1	G	46439	            Sutterella
0.0011	7	7	5	5	2	2	G	46440	            uncultured
0.0009	6	6	4	4	2	2	G	46438	            Parasutterella
0.0002	1	1	1	1	0	0	G	46437	            AAP99
0.0028	18	0	5	0	13	0	F	46319	          Gallionellaceae
0.0023	15	15	4	4	11	11	G	46322	            Gallionella
0.0002	1	1	0	0	1	1	G	46323	            Sideroxydans
0.0002	1	1	1	1	0	0	G	46324	            uncultured
0.0013	8	0	1	0	7	0	F	46237	          Chitinibacteraceae
0.0005	3	3	1	1	2	2	G	46241	            Chitinilyticum
0.0003	2	2	0	0	2	2	G	46240	            Chitinibacter
0.0002	1	1	0	0	1	1	G	46245	            Iodobacter
0.0002	1	1	0	0	1	1	G	46247	            Silvimonas
0.0006	4	0	4	0	0	0	F	46214	          Aquaspirillaceae
0.0006	4	4	4	4	0	0	G	46215	            Aquaspirillum
0.0005	3	0	3	0	0	0	F	46251	          Chromobacteriaceae
0.0003	2	2	2	2	0	0	G	46253	            Chromobacterium
0.0002	1	1	1	1	0	0	G	46258	            Vogesella
0.0003	2	0	1	0	1	0	F	46317	          Ferrovaceae
0.0003	2	2	1	1	1	1	G	46318	            Ferrovum
0.0002	1	0	1	0	0	0	F	46233	          Burkholderiales Incertae Sedis
0.0002	1	1	1	1	0	0	G	46234	            2013Ark19i
0.0002	1	0	1	0	0	0	F	46248	          Chitinimonadaceae
0.0002	1	1	1	1	0	0	G	46249	            Chitinimonas
0.0002	1	0	1	0	0	0	F	46431	          Sulfuricellaceae
0.0002	1	1	1	1	0	0	G	46434	            Sulfuriferula
0.8851	5662	0	435	0	5227	0	O	46449	        Enterobacterales
0.4510	2885	0	239	0	2646	0	F	46454	          Enterobacteriaceae
0.1104	706	706	65	65	641	641	G	46465	            Klebsiella
0.0888	568	568	0	0	568	568	G	46474	            Salmonella
0.0858	549	549	61	61	488	488	G	46463	            Escherichia-Shigella
0.0744	476	476	47	47	429	429	G	46462	            Enterobacter
0.0263	168	168	6	6	162	162	G	46459	            Citrobacter
0.0214	137	137	20	20	117	117	G	46457	            Buttiauxella
0.0067	43	43	25	25	18	18	G	46467	            Kosakonia
0.0066	42	42	3	3	39	39	G	46466	            Kluyvera
0.0053	34	34	0	0	34	34	G	46461	            Enterobacillus
0.0041	26	26	0	0	26	26	G	46470	            Plesiomonas
0.0039	25	25	4	4	21	21	G	46473	            Raoultella
0.0036	23	23	0	0	23	23	G	46458	            Cedecea
0.0033	21	21	0	0	21	21	G	46460	            Cronobacter
0.0027	17	17	0	0	17	17	G	46472	            Pseudocitrobacter
0.0020	13	13	1	1	12	12	G	46464	            Franconibacter
0.0019	12	12	0	0	12	12	G	46476	            Trabulsiella
0.0008	5	5	0	0	5	5	G	46468	            Lelliottia
0.0006	4	4	0	0	4	4	G	46477	            Yokenella
0.0003	2	2	2	2	0	0	G	46469	            Mangrovibacter
0.1774	1135	0	23	0	1112	0	F	46536	          Yersiniaceae
0.1510	966	966	23	23	943	943	G	46541	            Serratia
0.0231	148	148	0	0	148	148	G	46542	            Yersinia
0.0019	12	12	0	0	12	12	G	50353	            Gibbsiella
0.0013	8	8	0	0	8	8	G	46539	            Rahnella1
0.0674	431	0	22	0	409	0	F	46493	          Morganellaceae
0.0350	224	224	5	5	219	219	G	46517	            Morganella
0.0250	160	160	4	4	156	156	G	46520	            Providencia
0.0031	20	20	6	6	14	14	G	46519	            Proteus
0.0011	7	7	0	0	7	7	G	46523	            endosymbionts
0.0006	4	4	2	2	2	2	G	46495	            Buchnera
0.0005	3	3	0	0	3	3	G	46524	            uncultured
0.0005	3	3	0	0	3	3	G	46501	            Candidatus Ecksteinia
0.0003	2	2	2	2	0	0	G	46494	            Arsenophonus
0.0002	1	1	0	0	1	1	G	46497	            Candidatus Baumannia
0.0002	1	1	1	1	0	0	G	46521	            Wigglesworthia
0.0467	299	0	62	0	237	0	F	46478	          Erwiniaceae
0.0339	217	217	62	62	155	155	G	46483	            Pantoea
0.0091	58	58	0	0	58	58	G	46480	            Erwinia
0.0014	9	9	0	0	9	9	G	46485	            Rosenbergiella
0.0009	6	6	0	0	6	6	G	46486	            Siccibacter
0.0008	5	5	0	0	5	5	G	46482	            Izhakiella
0.0003	2	2	0	0	2	2	G	46484	            Phaseolibacter
0.0396	253	0	15	0	238	0	F	50237	          Alteromonadaceae
0.0278	178	178	1	1	177	177	G	50241	            Alishewanella
0.0098	63	63	13	13	50	50	G	50251	            Rheinheimera
0.0008	5	5	0	0	5	5	G	50238	            Aestuariibacter
0.0006	4	4	0	0	4	4	G	50242	            Alteromonas
0.0241	154	0	26	0	128	0	F	50342	          Vibrionaceae
0.0233	149	149	23	23	126	126	G	50351	            Vibrio
0.0003	2	2	0	0	2	2	G	50350	            Thaumasiovibrio
0.0002	1	1	1	1	0	0	G	50348	            Photobacterium
0.0002	1	1	1	1	0	0	G	50349	            Salinivibrio
0.0167	107	0	0	0	107	0	F	50267	          Idiomarinaceae
0.0163	104	104	0	0	104	104	G	50269	            Idiomarina
0.0003	2	2	0	0	2	2	G	50268	            Aliidiomarina
0.0150	96	0	2	0	94	0	F	46525	          Pectobacteriaceae
0.0102	65	65	2	2	63	63	G	46526	            Brenneria
0.0034	22	22	0	0	22	22	G	46531	            Sodalis
0.0006	4	4	0	0	4	4	G	46527	            Dickeya
0.0006	4	4	0	0	4	4	G	46532	            uncultured
0.0116	74	0	7	0	67	0	F	50231	          Aeromonadaceae
0.0113	72	72	7	7	65	65	G	50232	            Aeromonas
0.0002	1	1	0	0	1	1	G	50235	            Tolumonas
0.0097	62	0	8	0	54	0	F	50287	          Pasteurellaceae
0.0083	53	53	8	8	45	45	G	50300	            Haemophilus
0.0008	5	5	0	0	5	5	G	50288	            Actinobacillus
0.0002	1	1	0	0	1	1	G	50289	            Aggregatibacter
0.0002	1	1	0	0	1	1	G	50311	            Rodentibacter
0.0064	41	0	3	0	38	0	F	50329	          Shewanellaceae
0.0064	41	41	3	3	38	38	G	50332	            Shewanella
0.0041	26	0	7	0	19	0	F	50319	          Pseudoalteromonadaceae
0.0034	22	22	7	7	15	15	G	50321	            Pseudoalteromonas
0.0005	3	3	0	0	3	3	G	50322	            Psychrosphaera
0.0036	23	0	10	0	13	0	F	50333	          Succinivibrionaceae
0.0014	9	9	4	4	5	5	G	50334	            Anaerobiospirillum
0.0011	7	7	5	5	2	2	G	50338	            Succinivibrio
0.0008	5	5	1	1	4	4	G	50335	            Ruminobacter
0.0033	21	0	0	0	21	0	F	46490	          Hafniaceae
0.0033	21	21	0	0	21	21	G	46492	            Hafnia-Obesumbacterium
0.0028	18	0	4	0	14	0	F	50257	          Colwelliaceae
0.0025	16	16	2	2	14	14	G	50258	            Colwellia
0.0002	1	1	1	1	0	0	G	50261	            Thalassotalea
0.0023	15	0	0	0	15	0	F	50277	          Moritellaceae
0.0022	14	14	0	0	14	14	G	50278	            Moritella
0.0002	1	1	0	0	1	1	G	50280	            uncultured
0.0009	6	0	0	0	6	0	F	50324	          Psychromonadaceae
0.0008	5	5	0	0	5	5	G	50328	            Psychromonas
0.0002	1	1	0	0	1	1	G	50325	            Agarivorans
0.0002	1	0	0	0	1	0	F	50265	          Gallaecimonadaceae
0.0002	1	1	0	0	1	1	G	50266	            Gallaecimonas
0.3719	2379	0	646	0	1733	0	O	3786	        Xanthomonadales
0.3381	2163	0	524	0	1639	0	F	26864	          Rhodanobacteraceae
0.2012	1287	1287	5	5	1282	1282	G	26869	            Dyella
0.0585	374	374	372	372	2	2	G	26872	            Luteibacter
0.0275	176	176	1	1	175	175	G	26878	            Rudaea
0.0238	152	152	133	133	19	19	G	26877	            Rhodanobacter
0.0125	80	80	0	0	80	80	G	26876	            Pseudofulvimonas
0.0056	36	36	3	3	33	33	G	26868	            Dokdonella
0.0038	24	24	0	0	24	24	G	26867	            Chujaibacter
0.0017	11	11	4	4	7	7	G	26870	            Frateuria
0.0014	9	9	3	3	6	6	G	26880	            uncultured
0.0008	5	5	0	0	5	5	G	26879	            Tahibacter
0.0336	215	0	121	0	94	0	F	3799	          Xanthomonadaceae
0.0111	71	71	36	36	35	35	G	3818	            Stenotrophomonas
0.0089	57	57	32	32	25	25	G	3808	            Luteimonas
0.0058	37	37	24	24	13	13	G	3809	            Lysobacter
0.0019	12	12	12	12	0	0	G	3801	            Arenimonas
